?city ?year ?population .
<http://dbpedia.org/resource/Buenos_Aires> "2013" "13339001.6015536"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Catamarca> "2013" "215795.389398648"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Comodoro%20Rivadavia-Rada%20Tilly> "2013" "146557.365847925"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Concordia> "2013" "157705.748550135"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/C%C3%B3rdoba> "2013" "1442000.64659388"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Corrientes> "2013" "373981.279268183"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Formosa> "2013" "253508.104025216"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/La%20Plata> "2013" "764468.872784661"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/La%20Rioja> "2013" "193763.58807037"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Luis> "2013" "216609.517202332"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mar%20del%20Plata-Bat%C3%A1n> "2013" "633905.593145199"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mendoza> "2013" "923203.297204453"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Neuqu%C3%A9N-Plottier> "2013" "277609.714022646"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Paran%C3%A1> "2013" "286659.493034397"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Posadas> "2013" "312162.868950168"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Resistencia> "2013" "406284.472613334"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/R%C3%ADo%20Cuarto> "2013" "168400.500188638"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rosario> "2013" "1284951.22445876"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Salta> "2013" "562807.15066998"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San_Juan%2C_Puerto_Rico> "2013" "486313.228956941"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Salvador%20de%20Jujuy-Palpal%C3%A1> "2013" "322872.909734593"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20F%C3%A9> "2013" "521233.02888211"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20Rosa-Toay> "2013" "127398.589387156"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santiago%20del%20Estero-La%20Banda> "2013" "387320.455373139"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tucum%C3%A1n-Taf%C3%AD%20Viejo> "2013" "836411.619309512"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ushuaia-R%C3%ADo%20Grande> "2013" "130617.023030331"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Bah%C3%ADa%20Blanca-Cerri> "2012" "314948"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Buenos_Aires> "2012" "13242375"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Catamarca> "2012" "212174"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Comodoro%20Rivadavia-Rada%20Tilly> "2012" "145475"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Concordia> "2012" "155905"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/C%C3%B3rdoba> "2012" "1429922"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Corrientes> "2012" "368778"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Formosa> "2012" "249062"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/La%20Plata> "2012" "757980"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/La%20Rioja> "2012" "189845"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Luis> "2012" "212154"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mar%20del%20Plata-Bat%C3%A1n> "2012" "628672"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mendoza> "2012" "916220"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Neuqu%C3%A9N-Plottier> "2012" "273503"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Paran%C3%A1> "2012" "283328"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Posadas> "2012" "307619"^^<http://www.w3.org/2001/XMLSchema#double> .
