?city ?year ?population .
<http://dbpedia.org/resource/Contagem> "2010" "379044"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Contagem> "2010" "601400"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Coronel%20Fabriciano> "2010" "47625"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Coronel%20Fabriciano> "2010" "102395"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Corumb%C3%A1> "2010" "91697"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Corumb%C3%A1> "2010" "93452"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cotia> "2010" "170507"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cotia> "2010" "201150"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Crato> "2010" "93469"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Crato> "2010" "100916"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Crici%C3%BAMa> "2010" "133031"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Crici%C3%BAMa> "2010" "189630"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cubatao> "2010" "118720"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cuiab%C3%A1> "2010" "220859"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Cuiab%C3%A1> "2010" "540814"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Curitiba> "2010" "1751907"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Diadema> "2010" "386089"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Divin%C3%B3Polis> "2010" "202220"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Divin%C3%B3Polis> "2010" "207516"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Dourados> "2010" "173647"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Dourados> "2010" "181005"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Duque%20De%20Caxias> "2010" "341304"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Duque%20De%20Caxias> "2010" "852138"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Embu> "2010" "240230"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Eun%C3%A1Polis> "2010" "93413"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Feira%20De%20Santana> "2010" "495516"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Feira%20De%20Santana> "2010" "510635"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ferraz%20de%20Vasconcelos> "2010" "111727"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ferraz%20de%20Vasconcelos> "2010" "160754"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Florian%C3%B3Polis> "2010" "249477"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Florian%C3%B3Polis> "2010" "405189"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Formosa> "2010" "88171"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Formosa> "2010" "92023"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Bragan%C3%A7A> "2010" "862750"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Bragan%C3%A7A> "2010" "2452185"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Foz%20Do%20Igua%C3%A7U> "2010" "253962"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Franca> "2010" "313046"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Francisco%20Morato> "2010" "154207"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Franco%20da%20Rocha> "2010" "121244"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Garanhuns> "2010" "112462"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Garanhuns> "2010" "115356"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Goi%C3%A2Nia> "2010" "1296324"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Goi%C3%A2Nia> "2010" "1297154"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Governador%20Valadares> "2010" "245125"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Governador%20Valadares> "2010" "253300"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Gravatai> "2010" "228093"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Gravatai> "2010" "243497"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Guarapari> "2010" "100528"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Guarapuava> "2010" "142163"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Guarapuava> "2010" "152993"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Guaratinguet%C3%A1> "2010" "106762"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Guaruj%C3%A1> "2010" "138753"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Guaruj%C3%A1> "2010" "290696"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Guarulhos> "2010" "784971"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Guarulhos> "2010" "1221979"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Hortolandia> "2010" "192692"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ibirit%C3%A9> "2010" "83765"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ibirit%C3%A9> "2010" "158590"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Igarassu> "2010" "91953"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Igarassu> "2010" "93931"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ilh%C3%A9Us> "2010" "148437"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ilh%C3%A9Us> "2010" "155281"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Imperatriz> "2010" "234547"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Indaiatuba> "2010" "199592"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ipatinga> "2010" "148687"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ipatinga> "2010" "236968"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itabira%C3%AD> "2010" "100300"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itabira%C3%AD> "2010" "102316"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itabora%C3%AD> "2010" "107527"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itabora%C3%AD> "2010" "215327"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itabuna> "2010" "199749"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itagua%C3%AD> "2010" "104195"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itagua%C3%AD> "2010" "104209"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itaja%C3%AD> "2010" "173452"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itapecerica%20Da%20Serra> "2010" "151349"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itapetininga> "2010" "123439"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itapetininga> "2010" "131050"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itapevi> "2010" "200769"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itapipoca> "2010" "56330"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itapipoca> "2010" "66909"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itaquaquecetuba> "2010" "321770"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itatiba> "2010" "85666"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Itu> "2010" "144269"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Jaboatao%20dos%20Guarapes> "2010" "335371"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Jaboatao%20dos%20Guarapes> "2010" "630595"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Jacare%C3%AD> "2010" "187144"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Jacare%C3%AD> "2010" "208297"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Jandira> "2010" "108344"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Jaragu%C3%A1%20Do%20Sul> "2010" "132800"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ja%C3%BA> "2010" "118895"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ja%C3%BA> "2010" "126943"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Jequi%C3%A9> "2010" "136518"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Jequi%C3%A9> "2010" "139426"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ji-Paran%C3%A1> "2010" "103256"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ji-Paran%C3%A1> "2010" "104858"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Joao%20Pessoa> "2010" "720954"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Joinville> "2010" "486803"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Joinville> "2010" "497850"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Juazeiro> "2010" "151336"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Juazeiro> "2010" "160775"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ju%C3%A0Zeiro%20Do%20Norte> "2010" "238889"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ju%C3%A0Zeiro%20Do%20Norte> "2010" "240128"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Juiz%20De%20Fora> "2010" "489801"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Juiz%20De%20Fora> "2010" "510378"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Jundia%C3%AD> "2010" "354204"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lages> "2010" "153676"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lages> "2010" "153937"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lauro%20De%20Freitas> "2010" "163449"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Limeira> "2010" "267804"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Linhares> "2010" "109653"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Linhares> "2010" "121567"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Londrina> "2010" "485822"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Londrina> "2010" "493520"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Luzi%C3%A2Nia> "2010" "98752"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Luzi%C3%A2Nia> "2010" "162807"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Macae> "2010" "194652"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Macae> "2010" "202859"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Macap%C3%A1> "2010" "369287"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Macap%C3%A1> "2010" "381091"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Macei%C3%B3> "2010" "932078"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mag%C3%A9> "2010" "54633"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mag%C3%A9> "2010" "215236"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Manaus> "2010" "1792881"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Maraba> "2010" "186270"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Maracanau> "2010" "163853"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Maracanau> "2010" "207635"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Maranguape> "2010" "59468"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Maranguape> "2010" "86309"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Maric%C3%A1> "2010" "40074"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Maric%C3%A1> "2010" "125401"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mar%C3%ADLia> "2010" "197342"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mar%C3%ADLia> "2010" "207021"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Maring%C3%A1> "2010" "342310"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Maring%C3%A1> "2010" "350653"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Marituba> "2010" "107123"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mau%C3%A1> "2010" "417064"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mesquita> "2010" "168376"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Moji%20das%20Cruzes> "2010" "163259"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Moji%20das%20Cruzes> "2010" "357313"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Moji-Gua%C3%A7U> "2010" "127452"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Moji-Gua%C3%A7U> "2010" "130295"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Montes%20Claros> "2010" "338381"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Montes%20Claros> "2010" "344427"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mossor%C3%B3> "2010" "237241"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Muria%C3%A9> "2010" "86814"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Muria%C3%A9> "2010" "93225"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Natal> "2010" "803739"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Nil%C3%B3Polis> "2010" "102161"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Nil%C3%B3Polis> "2010" "157425"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Niter%C3%B3I> "2010" "487562"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Nossa%20Senhora%20Do%20Socorro> "2010" "155823"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Nova%20Friburgo> "2010" "113217"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Nova%20Friburgo> "2010" "159372"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Nova%20Igua%C3%A7U> "2010" "787563"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/N%C3%B4Vo%20Hamburgo> "2010" "234798"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Olinda> "2010" "370332"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Osasco> "2010" "666740"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ourinhos> "2010" "100374"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pa%C3%A7O%20Do%20Lumiar> "2010" "78811"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Palho%C3%A7A> "2010" "119360"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Palho%C3%A7A> "2010" "135311"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Palmas> "2010" "217056"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Palmas> "2010" "221742"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Paranagu%C3%A1> "2010" "133761"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Paranagu%C3%A1> "2010" "135421"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Parauapebas> "2010" "138690"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Parintins> "2010" "67987"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Parintins> "2010" "69890"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Parna%C3%ADBa> "2010" "137485"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Parnamirim> "2010" "202456"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Passo%20Fundo> "2010" "179630"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Passo%20Fundo> "2010" "180120"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Passos> "2010" "100859"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Patos> "2010" "96360"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Patos> "2010" "97278"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Patos%20De%20Minas> "2010" "124349"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Patos%20De%20Minas> "2010" "127724"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Paulista> "2010" "300466"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Paulo%20Afonso> "2010" "93404"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pelotas> "2010" "306193"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Petrolina> "2010" "217093"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Petrolina> "2010" "219172"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Petr%C3%B3Polis> "2010" "185876"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Petr%C3%B3Polis> "2010" "281286"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pindamonhangaba> "2010" "103395"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pindamonhangaba> "2010" "141708"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pinhais> "2010" "117008"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Piracicaba> "2010" "297767"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Piracicaba> "2010" "356743"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Po%C3%A0> "2010" "99116"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Po%C3%A0> "2010" "104338"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Po%C3%A7Os%20De%20Caldas> "2010" "148722"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ponta%20Grossa> "2010" "303399"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ponta%20Grossa> "2010" "304717"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Porto%20Alegre> "2010" "1409351"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Porto%20Seguro> "2010" "80240"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Porto%20Seguro> "2010" "104078"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Porto%20Velho> "2010" "369259"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Porto%20Velho> "2010" "392475"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pouso%20Alegre> "2010" "118847"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Pouso%20Alegre> "2010" "119590"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Praia%20Grande> "2010" "201259"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Praia%20Grande> "2010" "262051"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Presidente%20Prudente> "2010" "200042"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Presidente%20Prudente> "2010" "203382"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Queimados> "2010" "137962"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Recife> "2010" "1537704"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Resende> "2010" "77848"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Resende> "2010" "112331"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ribeirao%20Das%20Neves> "2010" "134449"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ribeirao%20Das%20Neves> "2010" "294158"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ribeirao%20Pires> "2010" "77660"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ribeirao%20Pires> "2010" "113068"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ribeirao%20Pr%C3%AATo> "2010" "590593"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ribeirao%20Pr%C3%AATo> "2010" "603186"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rio%20Branco> "2010" "308545"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rio%20Claro> "2010" "178613"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rio%20Claro> "2010" "181720"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rio%20das%20Ostras> "2010" "99905"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rio%20De%20Janeiro> "2010" "6320446"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rio%20Grande> "2010" "178454"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rio%20Grande> "2010" "189429"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rio%20Verde> "2010" "160661"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rio%20Verde> "2010" "163540"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rondon%C3%B3Polis> "2010" "144049"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rondon%C3%B3Polis> "2010" "188028"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Sab%C3%A1Ra> "2010" "44206"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Sab%C3%A1Ra> "2010" "123084"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Salto> "2010" "104688"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Salvador> "2010" "2674923"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20B%C3%A1rbara%20D%27Oeste> "2010" "178596"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20Cruz%20Do%20Sul> "2010" "102891"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20Cruz%20Do%20Sul> "2010" "105190"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20Luzia> "2010" "72187"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20Luzia> "2010" "202378"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20Maria> "2010" "246544"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20Maria> "2010" "248347"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20Rita> "2010" "101319"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20Rita> "2010" "103717"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santana> "2010" "96509"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santana> "2010" "99111"^^<http://www.w3.org/2001/XMLSchema#double> .
