# city	citylabel	year	population
http://harth.org/andreas/2017/citydata/unsd/cities#000330C	Mestghanem (Mostaganem)	1998	125911
http://harth.org/andreas/2017/citydata/unsd/cities#000270C	Jijel	1998	106306
http://harth.org/andreas/2017/citydata/unsd/cities#000390C	Skikda	1998	153531
http://harth.org/andreas/2017/citydata/unsd/cities#000300C	Lemdiyya (Médéa)	1998	128427
http://harth.org/andreas/2017/citydata/unsd/cities#000420C	Tbessa (Tébessa)	1998	154335
http://harth.org/andreas/2017/citydata/unsd/cities#000260C	Guelma	1998	108682
http://harth.org/andreas/2017/citydata/unsd/cities#000440C	Tilimsen (Tlemcen)	1998	156258
http://harth.org/andreas/2017/citydata/unsd/cities#000240C	Ghardaïa	1998	127959
http://harth.org/andreas/2017/citydata/unsd/cities#000220C	El Eulma	1998	104758
http://harth.org/andreas/2017/citydata/unsd/cities#000200C	ALGIERS (EL DJAZAIR)	1998	1569897
http://harth.org/andreas/2017/citydata/unsd/cities#000160C	Bordj el Kiffan	1998	103690
http://harth.org/andreas/2017/citydata/unsd/cities#000470C	Wahran (Oran)	1998	705335
http://harth.org/andreas/2017/citydata/unsd/cities#000480C	Wargla (Ouargla)	1998	139381
http://harth.org/andreas/2017/citydata/unsd/cities#000490C	PAGO PAGO	2000	4278
http://harth.org/andreas/2017/citydata/unsd/cities#000460C	Touggourt	1998	114183
http://harth.org/andreas/2017/citydata/unsd/cities#000410C	Stif (Sétif)	1998	214842
http://harth.org/andreas/2017/citydata/unsd/cities#000430C	Tihert (Tiaret)	1998	148850
http://harth.org/andreas/2017/citydata/unsd/cities#000400C	Souq Ahras	1998	114512
http://harth.org/andreas/2017/citydata/unsd/cities#000370C	Saïda	1998	113533
http://harth.org/andreas/2017/citydata/unsd/cities#000380C	Sidi-bel-Abbès	1998	183931
http://harth.org/andreas/2017/citydata/unsd/cities#000500U	ANDORRA LA VELLA	2010	23505
http://harth.org/andreas/2017/citydata/unsd/cities#000500U	ANDORRA LA VELLA	2008	24632
http://harth.org/andreas/2017/citydata/unsd/cities#000500U	ANDORRA LA VELLA	2011	22205
http://harth.org/andreas/2017/citydata/unsd/cities#000500U	ANDORRA LA VELLA	2007	24574
http://harth.org/andreas/2017/citydata/unsd/cities#000490C	PAGO PAGO	2010	3656
http://harth.org/andreas/2017/citydata/unsd/cities#000500U	ANDORRA LA VELLA	2006	24211
http://harth.org/andreas/2017/citydata/unsd/cities#000500U	ANDORRA LA VELLA	2009	24779
http://harth.org/andreas/2017/citydata/unsd/cities#036920C	THE VALLEY	2011	2812
http://harth.org/andreas/2017/citydata/unsd/cities#036920C	THE VALLEY	2001	4904
http://harth.org/andreas/2017/citydata/unsd/cities#000530C	ST. JOHN	1991	22342
http://harth.org/andreas/2017/citydata/unsd/cities#000595U	Bariloche	2015	154716
http://harth.org/andreas/2017/citydata/unsd/cities#000620U	Comodoro Rivadavia-Rada Tilly	2015	213775
http://harth.org/andreas/2017/citydata/unsd/cities#000630U	Concordia	2015	160525
http://harth.org/andreas/2017/citydata/unsd/cities#000500U	ANDORRA LA VELLA	2003	21245
http://harth.org/andreas/2017/citydata/unsd/cities#000640U	Córdoba	2015	1517610
http://harth.org/andreas/2017/citydata/unsd/cities#000500U	ANDORRA LA VELLA	2005	23587
http://harth.org/andreas/2017/citydata/unsd/cities#000715U	San Luis - El Chorrillo	2015	217726
http://harth.org/andreas/2017/citydata/unsd/cities#000660U	Formosa	2015	257004
http://harth.org/andreas/2017/citydata/unsd/cities#000690U	La Plata	2015	834530
http://harth.org/andreas/2017/citydata/unsd/cities#000730U	Mendoza	2015	1079744
http://harth.org/andreas/2017/citydata/unsd/cities#000650U	Corrientes	2015	382208
http://harth.org/andreas/2017/citydata/unsd/cities#000760U	Paraná	2015	274363
http://harth.org/andreas/2017/citydata/unsd/cities#000770U	Posadas	2015	353909
http://harth.org/andreas/2017/citydata/unsd/cities#000785U	Rawson-Trelew-Playa Unión	2015	138024
http://harth.org/andreas/2017/citydata/unsd/cities#000610U	Catamarca	2015	210627
