http://citydata.wu.ac.at/resource/100/004660#000001	Varna	2012	334763
http://citydata.wu.ac.at/resource/100/004660#000002	Varna	2003	312778
http://citydata.wu.ac.at/resource/104/004670#000001	Pathein	1983	144096
http://citydata.wu.ac.at/resource/104/004670#000001	Pathein	2014	286684
http://citydata.wu.ac.at/resource/104/004680#000001	Mandalay	1983	532949
http://citydata.wu.ac.at/resource/104/004680#000001	Mandalay	2014	1225133
http://citydata.wu.ac.at/resource/104/004690#000001	Monywa	1983	106843
http://citydata.wu.ac.at/resource/104/004690#000001	Monywa	2014	371963
http://citydata.wu.ac.at/resource/104/004700#000001	Mawlamyine	1983	219961
http://citydata.wu.ac.at/resource/104/004700#000001	Mawlamyine	2014	288120
http://citydata.wu.ac.at/resource/104/004705#000002	NAY PYI TAW	2014	1158367
http://citydata.wu.ac.at/resource/104/004710#000001	Bago	1983	150528
http://citydata.wu.ac.at/resource/104/004710#000001	Bago	2014	491130
http://citydata.wu.ac.at/resource/104/004711#000001	Dawei	2014	125239
http://citydata.wu.ac.at/resource/104/004712#000001	Ha Ka	2014	48266
http://citydata.wu.ac.at/resource/104/004713#000001	Hpa-an	2014	421415
http://citydata.wu.ac.at/resource/104/004714#000001	Loikaw	2014	128837
http://citydata.wu.ac.at/resource/104/004716#000001	Magway	2014	288883
http://citydata.wu.ac.at/resource/104/004717#000001	Myitkyina	2014	305347
http://citydata.wu.ac.at/resource/104/004720#000001	Sittway	1983	107621
http://citydata.wu.ac.at/resource/104/004720#000001	Sittway	2014	149348
http://citydata.wu.ac.at/resource/104/004730#000001	Taunggyi	1983	108231
http://citydata.wu.ac.at/resource/104/004730#000001	Taunggyi	2014	380665
http://citydata.wu.ac.at/resource/104/004740#000001	Yangon	1983	2513023
http://citydata.wu.ac.at/resource/104/004740#000001	Yangon	2014	5209541
http://citydata.wu.ac.at/resource/108/004750#000001	BUJUMBURA	1990	235440
http://citydata.wu.ac.at/resource/108/004750#000001	BUJUMBURA	2008	497169
http://citydata.wu.ac.at/resource/112/004760#000001	Baranovichi	1999	167419
http://citydata.wu.ac.at/resource/112/004760#000001	Baranovichi	2003	168765
http://citydata.wu.ac.at/resource/112/004760#000001	Baranovichi	2004	168312
http://citydata.wu.ac.at/resource/112/004760#000001	Baranovichi	2006	167911
http://citydata.wu.ac.at/resource/112/004760#000001	Baranovichi	2008	168280
http://citydata.wu.ac.at/resource/112/004760#000001	Baranovichi	2009	168240
http://citydata.wu.ac.at/resource/112/004760#000001	Baranovichi	2009	168858
http://citydata.wu.ac.at/resource/112/004760#000001	Baranovichi	2009	169531
http://citydata.wu.ac.at/resource/112/004760#000001	Baranovichi	2010	168596
http://citydata.wu.ac.at/resource/112/004760#000001	Baranovichi	2011	169468
