x,id,label,wikicity,isocode,clabel,wikicountry
http://eurostat.linked-statistics.org/dic/cities#DE022C,DE022C,Mülheim an der Ruhr,Q2899,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE023C,DE023C,Moers,Q3132,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE025C,DE025C,Darmstadt,Q2973,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE026C,DE026C,Trier,Q3138,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE027C,DE027C,Freiburg im Breisgau,Q2833,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE028C,DE028C,Regensburg,Q2978,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE029C,DE029C,Frankfurt (Oder),Q4024,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE030C,DE030C,Weimar,Q3955,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE031C,DE031C,Schwerin,Q1709,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE032C,DE032C,Erfurt,Q1729,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE033C,DE033C,Augsburg,Q2749,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE034C,DE034C,Bonn,Q586,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE035C,DE035C,Karlsruhe,Q1040,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE036C,DE036C,Mönchengladbach,Q2758,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE037C,DE037C,Mainz,Q1720,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE039C,DE039C,Kiel,Q1707,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE040C,DE040C,Saarbrücken,Q1724,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE041C,DE041C,Potsdam,Q1711,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE042C,DE042C,Koblenz,Q3104,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE043C,DE043C,Rostock,Q2861,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE501C,DE501C,Duisburg,Q2100,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE502C,DE502C,Mannheim,Q2119,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE503C,DE503C,Gelsenkirchen,Q2765,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE504C,DE504C,Münster,Q2742,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE505C,DE505C,Chemnitz,Q2795,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE506C,DE506C,Braunschweig,Q2773,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE507C,DE507C,Aachen,Q1017,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE508C,DE508C,Krefeld,Q2805,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE509C,DE509C,Oberhausen,Q2838,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE510C,DE510C,Lübeck,Q2843,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE511C,DE511C,Hagen,Q2871,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE512C,DE512C,Rostock,Q2861,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE513C,DE513C,Kassel,Q2865,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE514C,DE514C,Hamm,Q2880,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE515C,DE515C,Herne,Q2904,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE516C,DE516C,Solingen,Q2942,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE517C,DE517C,Osnabrück,Q2916,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE518C,DE518C,Ludwigshafen,Q2910,DE,Germany,Q183
http://eurostat.linked-statistics.org/dic/cities#DE519C,DE519C,Leverkusen,Q2938,DE,Germany,Q183
