item,itemLabel,pop,area
http://www.wikidata.org/entity/Q269,Tashkent,2352900,334800000
http://www.wikidata.org/entity/Q270,Warsaw,1748916,517.24
http://www.wikidata.org/entity/Q334,Singapore,5781728,719.1
http://www.wikidata.org/entity/Q342,Quimper,63532,84.45
http://www.wikidata.org/entity/Q350,Cambridge,123867,40.7
http://www.wikidata.org/entity/Q365,Cologne,1081701,405.15
http://www.wikidata.org/entity/Q384,Skopje,506926,571460000
http://www.wikidata.org/entity/Q385,Gdynia,247672,135
http://www.wikidata.org/entity/Q393,Szczecin,407047,301
http://www.wikidata.org/entity/Q459,Plovdiv,333206,101980000
http://www.wikidata.org/entity/Q490,Milan,1359905,181.67
http://www.wikidata.org/entity/Q495,Turin,889600,130170000
http://www.wikidata.org/entity/Q546,Trieste,204420,85.11
http://www.wikidata.org/entity/Q580,Łódź,715360,293
http://www.wikidata.org/entity/Q582,Villeurbanne,147192,14.52
http://www.wikidata.org/entity/Q586,Bonn,318809,141.06
http://www.wikidata.org/entity/Q588,Katowice,303314,164670000
http://www.wikidata.org/entity/Q597,Lisbon,545245,100.05
http://www.wikidata.org/entity/Q598,Rzeszów,182548,116
http://www.wikidata.org/entity/Q612,Dubai,2502715,4114
http://www.wikidata.org/entity/Q617,Padua,211560,92850000
http://www.wikidata.org/entity/Q621,Versailles,85272,26.18
http://www.wikidata.org/entity/Q622,Ludwigsburg,91116,43.35
http://www.wikidata.org/entity/Q628,Bergamo,119806,39
http://www.wikidata.org/entity/Q641,Venice,264579,414570000
http://www.wikidata.org/entity/Q647,Rennes,211373,50.39
http://www.wikidata.org/entity/Q648,Lille,231491,34.83
http://www.wikidata.org/entity/Q649,Moscow,12380664,2562
http://www.wikidata.org/entity/Q690,Delft,100011,24.08
http://www.wikidata.org/entity/Q715,Heilbronn,122567,99.88
http://www.wikidata.org/entity/Q761,Białystok,295624,102
http://www.wikidata.org/entity/Q768,Supetar,3213,30
http://www.wikidata.org/entity/Q807,Lausanne,139811,41370000
http://www.wikidata.org/entity/Q875,Abakan,179163,112.38
http://www.wikidata.org/entity/Q883,Novosibirsk,1602915,505.6
http://www.wikidata.org/entity/Q887,Yekaterinburg,1455904,468
http://www.wikidata.org/entity/Q891,Nizhny Novgorod,1266871,410.6
http://www.wikidata.org/entity/Q894,Samara,1169719,541
http://www.wikidata.org/entity/Q894,Samara,1169719,782
http://www.wikidata.org/entity/Q898,Omsk,1178391,572.9
http://www.wikidata.org/entity/Q900,Kazan,1231878,425.3
http://www.wikidata.org/entity/Q906,Chelyabinsk,1198858,500.9
http://www.wikidata.org/entity/Q908,Rostov-on-Don,1119875,348.5
http://www.wikidata.org/entity/Q911,Ufa,1130000,707.93
http://www.wikidata.org/entity/Q915,Perm,1041884,799.68
http://www.wikidata.org/entity/Q919,Krasnoyarsk,1066934,348
http://www.wikidata.org/entity/Q956,Beijing,21516000,16410.54
http://www.wikidata.org/entity/Q959,Vladivostok,606653,331.16
http://www.wikidata.org/entity/Q975,San Antonio,1436697,1205.4
http://www.wikidata.org/entity/Q976,Tomsk,569293,294.6
http://www.wikidata.org/entity/Q987,New Delhi,249998,42700000
http://www.wikidata.org/entity/Q994,Tbilisi,1082400,350000000
http://www.wikidata.org/entity/Q1010,Maribor,112325,41
http://www.wikidata.org/entity/Q1015,Koper,47539,311.2
http://www.wikidata.org/entity/Q1017,Aachen,245885,160.85
http://www.wikidata.org/entity/Q1018,Nova Gorica,13852,309
http://www.wikidata.org/entity/Q1022,Stuttgart,623738,207.35
http://www.wikidata.org/entity/Q1034,Biel/Bienne,55383,21.21
http://www.wikidata.org/entity/Q1040,Karlsruhe,307755,173.46
http://www.wikidata.org/entity/Q1055,Hamburg,1787408,755
http://www.wikidata.org/entity/Q1083,Salerno,135066,58960000
http://www.wikidata.org/entity/Q1085,Prague,1280508,496
http://www.wikidata.org/entity/Q1155,Busto Arsizio,83314,30.66
http://www.wikidata.org/entity/Q2683,Parma,194152,260770000
http://www.wikidata.org/entity/Q2684,Vladimir,354827,124.59
http://www.wikidata.org/entity/Q2734,Skierniewice,47837,36
http://www.wikidata.org/entity/Q2746,Ryazan,534762,224
http://www.wikidata.org/entity/Q2770,Tula,485930,146
http://www.wikidata.org/entity/Q2801,Bryansk,405921,230
http://www.wikidata.org/entity/Q2837,Kaluga,341986,170.5
http://www.wikidata.org/entity/Q2861,Rostock,206011,181440000
http://www.wikidata.org/entity/Q3012,Ulm,122636,118.69
http://www.wikidata.org/entity/Q3033,Göttingen,132866,116890000
http://www.wikidata.org/entity/Q3037,Kathmandu,975453,49450000
http://www.wikidata.org/entity/Q3043,Belmopan,17222,32780000
http://www.wikidata.org/entity/Q3070,San José,288054,44620000
